      y1       y2        y3        y4        y5       y6       y7        y8       x1       x2       x3
42  5.00 7.700000  6.666666  8.399997  6.250000 4.358243 9.999998  4.141377 4.488636 3.465736 2.013579
43  5.00 6.200000  9.999998  6.060997  5.000000 2.782771 6.666666  4.974739 4.615121 4.941642 2.255134
44  5.60 4.900000  0.000000  0.000000  6.555647 4.055463 6.666666  3.821796 3.850148 2.397895 1.740830
45  5.70 4.800000  0.000000  0.000000  6.555647 4.055463 0.000000  0.000000 3.970292 2.397895 1.050741
46  7.50 9.999998  7.900000  6.666666  3.750000 9.999998 7.631891  6.666666 3.784190 3.091042 2.113313
47  2.50 0.000000  6.666666  3.333333  2.500000 0.000000 0.000000  0.000000 3.806662 2.079442 2.137561
48  8.90 9.999998  9.700000  6.666666  5.000000 9.999998 9.556024  6.666666 4.532599 3.610918 1.587802
49  7.60 0.000000 10.000000  0.000000  5.000000 1.100000 6.666666  1.099999 5.117994 4.934474 3.834970
50  7.80 9.999998  6.666666  6.666666  5.000000 3.333333 6.666666  6.666666 5.049856 5.111988 4.381490
51  2.50 0.000000  6.666666  3.333333  5.000000 0.000000 6.666666  3.333333 5.393628 5.638355 4.169451
52  3.80 0.000000  5.100000  0.000000  3.750000 0.000000 6.666666  1.485166 4.477337 3.931826 2.474671
53  5.00 3.333333  3.333333  2.233333  5.000000 3.333333 6.666666  5.566663 5.257495 5.840642 5.001796
54  6.25 3.333333  9.999998  2.955702  6.250000 5.566663 9.999998  6.666666 5.379897 5.505332 3.299937
55  1.25 0.000000  3.333333  0.000000  2.500000 0.000000 0.000000  0.000000 5.298317 6.274762 4.381490
56  1.25 0.000000  4.700000  0.736999  2.500000 0.000000 3.333333  3.333333 4.859812 5.669881 3.537416
57  1.25 0.000000  6.666666  0.000000  2.500000 0.000000 5.228375  0.000000 4.969813 5.564520 4.510268
58  7.50 7.766664  9.999998  6.666666  7.500000 3.333333 9.999998  6.666666 6.011267 6.253829 5.001796
59  2.50 0.000000  6.666666  4.433333  5.000000 0.000000 6.666666  1.485166 5.075174 5.252273 5.350708
60  7.50 9.999998  9.999998 10.000000  8.750000 9.999998 9.999998 10.000000 6.736967 7.125283 6.330518
61  1.25 0.000000  0.000000  0.000000  1.250000 0.000000 0.000000  0.000000 5.225747 5.451038 3.167167
62  1.25 0.000000  0.000000  0.000000  0.000000 0.000000 0.000000  0.000000 4.025352 1.791759 2.657972
63  2.50 0.000000  0.000000  0.000000  0.000000 0.000000 6.666666  2.948164 4.234107 2.708050 2.474671
64  6.25 2.233299  6.666666  2.970332  3.750000 3.333299 6.666666  3.333333 4.644391 5.564520 3.046927
65  7.50 9.999998  9.999998 10.000000  7.500000 9.999998 9.999998 10.000000 4.418841 4.941642 3.380653
66  5.00 0.000000  6.100000  0.000000  5.000000 3.333333 9.999998  3.333333 4.262680 4.219508 4.368462
67  7.50 9.999998  9.999998 10.000000  3.750000 9.999998 9.999998 10.000000 4.875197 4.700480 3.834970
68  4.90 2.233333  9.999998  0.000000  5.000000 0.000000 3.621989  3.333333 4.189655 1.386294 1.418971
69  5.00 0.000000  8.200000  0.000000  5.000000 0.000000 0.000000  0.000000 4.521789 4.127134 2.113313
70  2.90 3.333333  6.666666  3.333333  2.500000 3.333333 6.666666  3.333333 4.653960 3.555348 1.881917
71  5.40 9.999998  6.666666  3.333333  3.750000 6.666666 6.666666  1.485166 4.477337 3.091042 1.987909
72  7.50 8.800000  9.999998  6.066666  7.500000 6.666666 9.999998  6.666666 5.337538 5.631212 3.491004
73  7.50 7.000000  9.999998  6.852998  7.500000 6.348340 6.666666  7.508044 6.129050 6.403574 5.001796
74 10.00 6.666666  9.999998 10.000000 10.000000 6.666666 9.999998 10.000000 5.003946 4.962845 3.976994
75  3.75 3.333333  0.000000  0.000000  1.250000 3.333333 0.000000  0.000000 4.488636 4.897840 2.867566
